                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.43761,                0.65532,                  1.118,                0.91086,                 0.9382,                0.93926,                0.73415,                0.81052,                0.90205,                 1.3688,              0.0003466,              0.0003466,              0.0003466
                     35,                0.44832,                0.66819,                  1.108,                0.84962,                0.96479,                0.94458,                 0.7449,                0.77515,                0.88808,                 1.3259,              0.0003268,              0.0003268,              0.0003268
                     36,                0.39541,                0.60424,                 1.0852,                0.92317,                0.94157,                0.95277,                0.76305,                0.85337,                 0.9156,                 1.3781,               0.000307,               0.000307,               0.000307
                     37,                0.40967,                  0.616,                 1.0853,                0.83504,                0.92416,                0.93886,                0.75823,                0.87487,                 1.0875,                 1.4229,              0.0002872,              0.0002872,              0.0002872
                     38,                0.40425,                0.60273,                 1.0812,                0.90167,                0.92129,                0.95956,                0.77113,                 0.8529,                 1.0577,                 1.4407,              0.0002674,              0.0002674,              0.0002674
                     39,                0.38341,                0.57573,                 1.0698,                0.92643,                0.94085,                0.94918,                0.77432,                0.82724,                0.83618,                  1.415,              0.0002476,              0.0002476,              0.0002476
                     40,                0.34858,                0.73155,                 1.0904,                0.93943,                0.92874,                0.93186,                0.74739,                0.81416,                0.88474,                 1.5293,              0.0002278,              0.0002278,              0.0002278
                     41,                0.30255,                 0.5937,                 1.0804,                0.94433,                0.92873,                0.93352,                0.75852,                0.78924,                0.98168,                 1.4644,               0.000208,               0.000208,               0.000208
                     42,                0.31274,                0.58696,                 1.0684,                0.95249,                0.93135,                0.92883,                0.75409,                0.78549,                0.96332,                 1.4434,              0.0001882,              0.0001882,              0.0001882
                     43,                0.28911,                 0.5317,                 1.0666,                0.94365,                0.95498,                0.95066,                0.77523,                0.77893,                0.84237,                 1.4277,              0.0001684,              0.0001684,              0.0001684
                     44,                0.28417,                0.51811,                 1.0585,                0.93318,                0.96735,                0.95091,                0.77205,                0.78874,                0.80905,                 1.4093,              0.0001486,              0.0001486,              0.0001486
                     45,                0.25571,                0.51377,                 1.0281,                0.95317,                0.95525,                0.94783,                0.75995,                0.76546,                0.86831,                 1.3637,              0.0001288,              0.0001288,              0.0001288
                     46,                0.25355,                0.48297,                 1.0343,                0.94925,                0.95958,                0.94795,                0.75793,                0.78204,                0.82532,                 1.3889,               0.000109,               0.000109,               0.000109
                     47,                0.25179,                0.47207,                 1.0387,                0.94973,                0.93909,                0.92911,                 0.7583,                0.79489,                0.81709,                 1.4674,               8.92e-05,               8.92e-05,               8.92e-05
                     48,                0.27051,                0.47289,                 1.0554,                0.94921,                0.92676,                0.93108,                0.76955,                0.74399,                 0.8196,                  1.375,               6.94e-05,               6.94e-05,               6.94e-05
                     49,                  0.258,                0.47606,                 1.0307,                0.94522,                0.92758,                0.93884,                0.77297,                0.75806,                0.78757,                 1.3991,               4.96e-05,               4.96e-05,               4.96e-05
